PERIODO,TIPO_CAMBIO
1991-01-01,0
1991-02-01,0
1991-03-01,0
1991-04-01,0
1991-05-01,0
1991-06-01,0
1991-07-01,0
1991-08-01,0
1991-09-01,0
1991-10-01,0
1991-11-01,3.0698
1991-12-01,3.07
1992-01-01,3.0685
1992-02-01,3.0636
1992-03-01,3.0664
1992-04-01,3.068
1992-05-01,3.098
1992-06-01,3.1185
1992-07-01,3.1165
1992-08-01,3.0913
1992-09-01,3.0862
1992-10-01,3.1185
1992-11-01,3.1198
1992-12-01,3.1182
1993-01-01,3.11
1993-02-01,3.0989
1993-03-01,3.1083
1993-04-01,3.0955
1993-05-01,3.1227
1993-06-01,3.1213
1993-07-01,3.1236
1993-08-01,3.1126
1993-09-01,3.1127
1993-10-01,3.1142
1993-11-01,3.1553
1993-12-01,3.1077
1994-01-01,3.1075
1994-02-01,3.1115
1994-03-01,3.2841
1994-04-01,3.3536
1994-05-01,3.312
1994-06-01,3.3607
1994-07-01,3.4009
1994-08-01,3.3821
1994-09-01,3.3998
1994-10-01,3.4158
1994-11-01,3.4426
1994-12-01,3.9308
1995-01-01,5.5133
1995-02-01,5.6854
1995-03-01,6.7019
1995-04-01,6.2996
1995-05-01,5.9627
1995-06-01,6.2232
1995-07-01,6.1394
1995-08-01,6.1909
1995-09-01,6.3025
1995-10-01,6.6911
1995-11-01,7.6584
1995-12-01,7.6597
1996-01-01,7.476
1996-02-01,7.524
1996-03-01,7.5687
1996-04-01,7.4617
1996-05-01,7.4326
1996-06-01,7.5604
1996-07-01,7.6206
1996-08-01,7.5115
1996-09-01,7.544
1996-10-01,7.7263
1996-11-01,7.906
1996-12-01,7.872
1997-01-01,7.8271
1997-02-01,7.8003
1997-03-01,7.9647
1997-04-01,7.9074
1997-05-01,7.9006
1997-06-01,7.9502
1997-07-01,7.8733
1997-08-01,7.7828
1997-09-01,7.7805
1997-10-01,7.8603
1997-11-01,8.2689
1997-12-01,8.1219
1998-01-01,8.2177
1998-02-01,8.5014
1998-03-01,8.5676
1998-04-01,8.4965
1998-05-01,8.5934
1998-06-01,8.9131
1998-07-01,8.896
1998-08-01,9.3633
1998-09-01,10.2307
1998-10-01,10.1536
1998-11-01,9.9682
1998-12-01,9.9057
1999-01-01,10.1351
1999-02-01,9.9939
1999-03-01,9.7316
1999-04-01,9.4185
1999-05-01,9.4105
1999-06-01,9.5139
1999-07-01,9.3657
1999-08-01,9.3966
1999-09-01,9.3358
1999-10-01,9.5667
1999-11-01,9.3988
1999-12-01,9.4249
2000-01-01,9.4878
2000-02-01,9.4252
2000-03-01,9.2876
2000-04-01,9.3903
2000-05-01,9.5158
2000-06-01,9.8295
2000-07-01,9.4212
2000-08-01,9.2709
2000-09-01,9.354
2000-10-01,9.5314
2000-11-01,9.5004
2000-12-01,9.4659
2001-01-01,9.7766
2001-02-01,9.7045
2001-03-01,9.6006
2001-04-01,9.3268
2001-05-01,9.1372
2001-06-01,9.0867
2001-07-01,9.1618
2001-08-01,9.1307
2001-09-01,9.4189
2001-10-01,9.345
2001-11-01,9.2236
2001-12-01,9.1561
2002-01-01,9.1616
2002-02-01,9.0998
2002-03-01,9.0707
2002-04-01,9.1629
2002-05-01,9.5192
2002-06-01,9.7652
2002-07-01,9.7808
2002-08-01,9.8396
2002-09-01,10.0714
2002-10-01,10.095
2002-11-01,10.1975
2002-12-01,10.2249
2003-01-01,10.6203
2003-02-01,10.9372
2003-03-01,10.9124
2003-04-01,10.5917
2003-05-01,10.2512
2003-06-01,10.5047
2003-07-01,10.4502
2003-08-01,10.7811
2003-09-01,10.9269
2003-10-01,11.1748
2003-11-01,11.145
2003-12-01,11.2486
2004-01-01,10.9151
2004-02-01,11.0142
2004-03-01,11.0094
2004-04-01,11.2751
2004-05-01,11.5124
2004-06-01,11.3894
2004-07-01,11.4636
2004-08-01,11.3942
2004-09-01,11.4864
2004-10-01,11.3983
2004-11-01,11.3681
2004-12-01,11.2041
2005-01-01,11.2607
2005-02-01,11.1367
2005-03-01,11.1427
2005-04-01,11.1163
2005-05-01,10.9733
2005-06-01,10.8228
2005-07-01,10.6781
2005-08-01,10.6882
2005-09-01,10.7775
2005-10-01,10.8324
2005-11-01,10.6685
2005-12-01,10.6295
2006-01-01,10.547
2006-02-01,10.4833
2006-03-01,10.7468
2006-04-01,11.0421
2006-05-01,11.0923
2006-06-01,11.3913
2006-07-01,10.9858
2006-08-01,10.872
2006-09-01,10.9853
2006-10-01,10.8971
2006-11-01,10.9177
2006-12-01,10.8479
2007-01-01,10.9529
2007-02-01,10.9998
2007-03-01,11.1139
2007-04-01,10.9806
2007-05-01,10.8167
2007-06-01,10.835
2007-07-01,10.8109
2007-08-01,11.0456
2007-09-01,11.0315
2007-10-01,10.8231
2007-11-01,10.8866
2007-12-01,10.8484
2008-01-01,10.91
2008-02-01,10.7665
2008-03-01,10.7313
2008-04-01,10.5154
2008-05-01,10.4352
2008-06-01,10.3292
2008-07-01,10.2155
2008-08-01,10.1095
2008-09-01,10.6437
2008-10-01,12.6314
2008-11-01,13.114
2008-12-01,13.4226
2009-01-01,13.8921
2009-02-01,14.5966
2009-03-01,14.6695
2009-04-01,13.4367
2009-05-01,13.1621
2009-06-01,13.3418
2009-07-01,13.3654
2009-08-01,13.008
2009-09-01,13.4212
2009-10-01,13.2257
2009-11-01,13.1094
2009-12-01,12.8631
2010-01-01,12.8019
2010-02-01,12.9424
2010-03-01,12.5737
2010-04-01,12.2302
2010-05-01,12.7428
2010-06-01,12.7193
2010-07-01,12.8189
2010-08-01,12.7695
2010-09-01,12.7997
2010-10-01,12.4374
2010-11-01,12.3391
2010-12-01,12.3885
2011-01-01,12.1258
2011-02-01,12.0703
2011-03-01,11.9992
2011-04-01,11.7184
2011-05-01,11.6533
2011-06-01,11.806
2011-07-01,11.6726
2011-08-01,12.2319
2011-09-01,13.0445
2011-10-01,13.435
2011-11-01,13.6993
2011-12-01,13.7689
2012-01-01,13.4178
2012-02-01,12.7831
2012-03-01,12.7567
2012-04-01,13.0697
2012-05-01,13.6634
2012-06-01,13.9192
2012-07-01,13.3661
2012-08-01,13.1845
2012-09-01,12.9394
2012-10-01,12.891
2012-11-01,13.0746
2012-12-01,12.8705
2013-01-01,12.699
2013-02-01,12.7229
2013-03-01,12.5247
2013-04-01,12.205
2013-05-01,12.3115
2013-06-01,12.9596
2013-07-01,12.7659
2013-08-01,12.9178
2013-09-01,13.0759
2013-10-01,12.9992
2013-11-01,13.0796
2013-12-01,13.0076
2014-01-01,13.223
2014-02-01,13.2808
2014-03-01,13.1951
2014-04-01,13.0708
2014-05-01,12.9247
2014-06-01,12.9958
2014-07-01,12.9904
2014-08-01,13.1406
2014-09-01,13.2352
2014-10-01,13.4763
2014-11-01,13.6216
2014-12-01,14.5129
2015-01-01,14.6926
2015-02-01,14.9213
2015-03-01,15.2283
2015-04-01,15.2262
2015-05-01,15.2645
2015-06-01,15.483
2015-07-01,15.9396
2015-08-01,16.5368
2015-09-01,16.8578
2015-10-01,16.564
2015-11-01,16.6357
2015-12-01,17.0666
2016-01-01,18.0728
2016-02-01,18.4731
2016-03-01,17.649
2016-04-01,17.4877
2016-05-01,18.1542
2016-06-01,18.653
2016-07-01,18.6014
2016-08-01,18.4749
2016-09-01,19.1924
2016-10-01,18.8924
2016-11-01,20.1185
2016-12-01,20.5206
2017-01-01,21.3853
2017-02-01,20.2905
2017-03-01,19.301
2017-04-01,18.7875
2017-05-01,18.7557
2017-06-01,18.1326
2017-07-01,17.8283
2017-08-01,17.807
2017-09-01,17.8357
2017-10-01,18.8161
2017-11-01,18.9158
2017-12-01,19.1812
2018-01-01,18.9074
2018-02-01,18.6449
2018-03-01,18.6308
2018-04-01,18.3872
2018-05-01,19.591
2018-06-01,20.3032
2018-07-01,19.0095
2018-08-01,18.8575
2018-09-01,19.0154
2018-10-01,19.1859
2018-11-01,20.2612
2018-12-01,20.1112
2019-01-01,19.1651
2019-02-01,19.2049
2019-03-01,19.2477
2019-04-01,18.9864
2019-05-01,19.1197
2019-06-01,19.2745
2019-07-01,19.0534
2019-08-01,19.685
2019-09-01,19.5865
2019-10-01,19.3242
2019-11-01,19.3325
2019-12-01,19.1071
2020-01-01,18.804
2020-02-01,18.8443
2020-03-01,22.3784
2020-04-01,24.2658
2020-05-01,23.423
2020-06-01,22.299
2020-07-01,22.4033
2020-08-01,22.2072
2020-09-01,21.681
2020-10-01,21.2705
2020-11-01,20.3819
2020-12-01,19.9651
2021-01-01,19.9215
2021-02-01,20.3097
2021-03-01,20.7555
2021-04-01,20.0153
2021-05-01,19.9631
2021-06-01,20.0301
2021-07-01,19.9701
2021-08-01,20.0761
2021-09-01,20.0487
2021-10-01,20.4626
2021-11-01,20.9004
2021-12-01,20.8918
2022-01-01,20.4978
2022-02-01,20.4495
2022-03-01,20.5562
2022-04-01,20.1088
2022-05-01,20.0305
2022-06-01,20.0237
2022-07-01,20.5467
2022-08-01,20.1209
2022-09-01,20.075
2022-10-01,19.9845
2022-11-01,19.4449
2022-12-01,19.593
2023-01-01,18.9863
2023-02-01,18.5986
2023-03-01,18.3749
2023-04-01,18.0855
2023-05-01,17.7373
2023-06-01,17.2412
2023-07-01,16.9049
2023-08-01,16.9766
2023-09-01,17.3077
2023-10-01,18.0823
2023-11-01,17.3767
2023-12-01,17.186
2024-01-01,17.0873
2024-02-01,17.0898
2024-03-01,16.7918
2024-04-01,16.8104
2024-05-01,16.7936
2024-06-01,18.2174
2024-07-01,18.1117
2024-08-01,19.1515
2024-09-01,19.6316
2024-10-01,19.7062
2024-11-01,20.3455
2024-12-01,20.2661
2025-01-01,20.549
2025-02-01,20.4571
2025-03-01,20.2417
2025-04-01,20.0564
2025-05-01,19.4355
2025-06-01,19.03
2025-07-01,18.6909
2025-08-01,18.7063
2025-09-01,18.499
2025-10-01,18.4296
2025-11-01,18.4185
2025-12-01,18.0739
2026-01-01,17.6449
